City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ulsteinvik,62.3432,5.8487,2.64,77,2,2.24,NO,1699938188
83,stanley,54.868,-1.6985,8.77,92,75,2.06,GB,1699938189
84,colares,38.7992,-9.4469,16.85,92,56,4.02,PT,1699938189
85,maposeni,-10.5833,35.4,22.53,84,74,1.37,TZ,1699938189
86,mala,-12.6581,-76.6308,19.43,87,73,1.63,PE,1699938189
87,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,0,12.52,RU,1699938189
88,kayenta,36.7278,-110.2546,8.96,27,100,1.46,US,1699938190
89,san andres,12.5847,-81.7006,26.01,94,20,2.06,CO,1699938190
90,revda,56.801,59.9303,2.84,96,100,5.5,RU,1699938190
91,geraldton,-28.7667,114.6,27.23,61,69,5.14,AU,1699938081
92,abadan,30.3392,48.3043,19.97,64,18,1.03,IR,1699938190
93,blackmans bay,-43.0167,147.3167,15.96,53,10,1.79,AU,1699938190
94,papatowai,-46.5619,169.4708,11.91,78,67,7.04,NZ,1699938191
95,badger,64.8,-147.5333,-2.86,93,100,0.95,US,1699938191
96,pandan,14.0453,124.1694,27.42,86,92,7.58,PH,1699938191
97,ar ruseris,11.8659,34.3869,28.06,48,3,1.09,SD,1699938191
98,quesnel,52.9999,-122.5029,1.28,93,100,0.0,CA,1699938191
99,orikhiv,47.5673,35.7858,5.21,80,48,2.53,UA,1699938192
100,albany,42.6001,-73.9662,0.73,87,65,1.35,US,1699938192
101,spas-demensk,54.4122,34.0226,2.87,84,100,5.28,RU,1699938192
102,barinas,8.6226,-70.2075,23.8,90,91,1.65,VE,1699938192
103,proletariy,58.4342,31.7046,0.63,97,99,3.25,RU,1699938192
104,iskateley,67.6803,53.1512,-7.77,96,100,4.02,RU,1699938193
105,olonkinbyen,70.9221,-8.7187,-1.33,78,97,4.02,SJ,1699938193
106,camalu,30.85,-116.0667,17.29,48,100,2.0,MX,1699938193
107,udachny,66.4167,112.4,-6.97,85,100,3.52,RU,1699938193
108,souillac,-20.5167,57.5167,27.21,69,75,4.63,MU,1699938193
109,merida,20.9667,-89.6167,25.57,92,88,3.13,MX,1699937987
110,margate,51.3813,1.3862,13.28,81,78,5.36,GB,1699938194
111,avarua,-21.2078,-159.775,22.03,68,20,1.54,CK,1699938023
112,holdrege,40.4403,-99.3698,10.82,67,0,6.17,US,1699938194
113,minas de marcona,-15.2119,-75.1103,13.47,89,66,6.08,PE,1699938194
114,invercargill,-46.4,168.35,8.9,91,90,10.28,NZ,1699938194
115,alliston,44.1501,-79.8663,6.02,72,36,4.63,CA,1699938195
116,huarmey,-10.0681,-78.1522,19.36,90,87,4.01,PE,1699938195
117,tiksi,71.6872,128.8694,-14.15,95,100,1.84,RU,1699938195
118,acapulco de juarez,16.8634,-99.8901,27.15,81,46,2.89,MX,1699937976
119,zambezi,-13.5432,23.1047,22.66,64,99,0.85,ZM,1699938196
120,ribeira grande,38.5167,-28.7,16.54,81,100,1.34,PT,1699938196
121,lihue,21.9789,-159.3672,26.58,81,70,7.33,US,1699938196
122,gaspe,48.8334,-64.4819,-1.05,86,100,2.06,CA,1699938109
123,hermanus,-34.4187,19.2345,15.57,78,66,7.14,ZA,1699938196
124,el granada,37.5027,-122.4694,14.9,79,100,3.6,US,1699938197
125,val-d'or,48.1002,-77.7828,0.05,100,100,3.09,CA,1699938197
126,constantia,44.1833,28.65,3.38,65,54,4.69,RO,1699938197
127,kone,-21.0595,164.8658,25.69,51,6,4.08,NC,1699938197
128,soio,-6.1349,12.3689,25.75,90,86,2.15,AO,1699938197
129,rikaze,29.25,88.8833,7.36,31,47,0.83,CN,1699938197
130,puerto rico,-26.796,-55.024,21.76,99,100,1.46,AR,1699937976
131,hajnowka,52.7433,23.5812,2.23,93,100,0.89,PL,1699938198
132,grand-lahou,5.1367,-5.0242,25.69,87,1,1.86,CI,1699938198
133,afaahiti,-17.75,-149.2833,26.93,90,96,6.7,PF,1699938198
134,tamanrasset,22.785,5.5228,17.95,24,0,7.2,DZ,1699938199
135,arraial do cabo,-22.9661,-42.0278,23.29,92,48,6.86,BR,1699938116
136,vilyuchinsk,52.9306,158.4028,-2.26,71,100,2.78,RU,1699938199
137,ceerigaabo,10.6162,47.368,18.94,34,49,2.38,SO,1699938199
138,tolanaro,-25.0319,46.9987,25.04,78,20,4.12,MG,1699938200
139,quimili,-27.6333,-62.4167,18.43,75,76,2.67,AR,1699938200
140,tharad,24.3961,71.6267,27.41,22,100,2.63,IN,1699938200
141,atafu village,-8.5421,-172.5159,26.7,86,100,3.1,TK,1699938200
142,vorgashor,67.5833,63.95,-11.41,87,100,4.22,RU,1699938200
143,waingapu,-9.6567,120.2641,30.94,66,48,4.46,ID,1699938201
144,ad dilam,23.9915,47.1627,22.23,41,100,2.6,SA,1699938201
145,college,64.8569,-147.8028,-2.82,92,100,0.59,US,1699938201
146,vernon,50.2581,-119.2691,6.2,69,40,0.45,CA,1699938078
147,keflavik,64.0049,-22.5624,8.24,61,75,11.32,IS,1699938201
